NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
14,경기도 수원시 영통구 영통동,1053-2,1053,2,벽산(1053-2),84.96,202605,27,59000,-,15,개인,개인,1997,봉영로1744번길 11,-,중개거래,경기 수원시 영통구,-
15,경기도 수원시 영통구 영통동,971-1,971,1,벽적골롯데,38.16,202605,25,29500,-,6,개인,개인,2002,덕영대로1555번길 20,-,중개거래,경기 수원시 영통구,-
16,경기도 수원시 영통구 망포동,720,720,0,그대가프리미어,59.9513,202605,25,89000,-,16,개인,개인,2010,덕영대로1484번길 21,-,중개거래,경기 수원시 영통구,-
17,경기도 수원시 영통구 매탄동,810-3,810,3,삼성1,67.13,202605,25,37500,-,13,개인,개인,1988,인계로 219,-,중개거래,경기 수원시 영통구,-
18,경기도 수원시 영통구 매탄동,1352,1352,0,매탄위브하늘채,59.9845,202605,23,65000,-,4,개인,개인,2008,효원로 363,-,중개거래,경기 수원시 영통구,-
19,경기도 수원시 영통구 영통동,973-3,973,3,벽적골한신,59.84,202605,23,40000,-,14,개인,개인,1997,영통로 232,-,직거래,-,-
20,경기도 수원시 영통구 영통동,963-2,963,2,신나무실신성,59.965,202605,23,44000,-,13,개인,개인,1997,매영로310번길 12,-,중개거래,경기 수원시 영통구,-
21,경기도 수원시 영통구 이의동,1252,1252,0,광교역참누리포레스트,59.5653,202605,23,74200,-,7,개인,개인,2015,대학3로 55,-,중개거래,"경기 수원시 영통구, 경기 수원시 장안구",-
22,경기도 수원시 영통구 원천동,593,593,0,광교아이파크,90.9486,202605,23,141000,-,4,개인,개인,2018,광교호수공원로 80,-,중개거래,경기 수원시 영통구,-
23,경기도 수원시 영통구 영통동,968,968,0,신나무실동보,84.9,202605,23,73000,-,17,개인,개인,1997,봉영로1517번길 76,-,중개거래,경기 수원시 영통구,-
24,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,59.8,202605,22,52000,-,12,개인,개인,1997,영통로 498,-,중개거래,경기 수원시 영통구,-
25,경기도 수원시 영통구 영통동,964-5,964,5,신나무실휴먼시아5단지,59.94,202605,22,41800,-,15,개인,개인,1997,영통로290번길 25,-,중개거래,경기 수원시 영통구,-
26,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,49.76,202605,22,42700,-,18,개인,개인,1997,영통로 498,-,중개거래,경기 용인시 처인구,-
27,경기도 수원시 영통구 영통동,963-2,963,2,신나무실진흥,59.965,202605,22,35500,-,1,개인,개인,1997,매영로310번길 12,-,중개거래,경기 수원시 영통구,-
28,경기도 수원시 영통구 영통동,964-5,964,5,신나무실휴먼시아5단지,59.99,202605,22,43800,-,7,개인,개인,1997,영통로290번길 25,-,중개거래,경기 수원시 영통구,-
29,경기도 수원시 영통구 영통동,972-2,972,2,벽적골주공휴먼시아8단지,49.59,202605,22,33000,-,7,개인,개인,1997,영통로290번길 26,-,중개거래,경기 수원시 영통구,-
30,경기도 수원시 영통구 매탄동,1282,1282,0,주공그린빌5,45.88,202605,22,35250,-,14,개인,개인,2002,동탄원천로881번길 35,-,중개거래,경기 수원시 영통구,-
31,경기도 수원시 영통구 매탄동,176,176,0,현대힐스테이트,75.814,202605,22,62600,-,13,개인,개인,2006,권광로260번길 36,-,중개거래,경기 수원시 영통구,-
32,경기도 수원시 영통구 매탄동,1211-1,1211,1,금성5,111.42,202605,22,68000,-,4,개인,개인,1993,동탄원천로 1089,-,중개거래,경기 수원시 영통구,-
33,경기도 수원시 영통구 이의동,1303,1303,0,오드카운티,123.4079,202605,22,155000,-,28,개인,개인,2012,센트럴파크로 100,-,중개거래,경기 수원시 영통구,-
34,경기도 수원시 영통구 영통동,1052-2,1052,2,황골마을(쌍용),59.79,202605,22,43500,-,6,개인,개인,1998,봉영로1744번길 16,-,중개거래,경기 수원시 영통구,-
35,경기도 수원시 영통구 이의동,1229,1229,0,광교호반베르디움트라엘,100.513,202605,22,132000,-,5,개인,개인,2017,대학로 98,-,중개거래,경기 수원시 영통구,-
36,경기도 수원시 영통구 매탄동,810,810,0,삼성2,74.4,202605,22,28000,-,4,개인,개인,1989,매영로 10,-,직거래,-,-
37,경기도 수원시 영통구 영통동,1052-2,1052,2,황골마을(쌍용),59.8,202605,22,40950,-,1,개인,개인,1998,봉영로1744번길 16,-,중개거래,경기 수원시 영통구,-
38,경기도 수원시 영통구 영통동,964-5,964,5,신나무실휴먼시아5단지,59.99,202605,22,43000,-,15,개인,개인,1997,영통로290번길 25,-,중개거래,경기 수원시 영통구,-
39,경기도 수원시 영통구 망포동,790,790,0,영통아이파크캐슬3단지,75.93,202605,22,90000,-,11,개인,개인,2022,망포로84번길 10,-,중개거래,경기 수원시 영통구,-
40,경기도 수원시 영통구 망포동,800,800,0,영통자이,59.9826,202605,22,66800,-,21,개인,개인,2022,영통로89번길 83,-,중개거래,경기 수원시 영통구,-
41,경기도 수원시 영통구 하동,1021,1021,0,힐스테이트광교,97.5548,202605,22,168000,-,15,개인,개인,2018,센트럴파크로 6,-,중개거래,경기 수원시 영통구,-
42,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,59.99,202605,22,55000,-,9,개인,개인,1997,영통로 498,-,중개거래,경기 수원시 영통구,-
43,경기도 수원시 영통구 영통동,1053-2,1053,2,풍림,84.84,202605,22,55000,-,10,개인,개인,1997,봉영로1744번길 11,-,중개거래,경기 수원시 영통구,-
44,경기도 수원시 영통구 매탄동,176,176,0,현대힐스테이트,84.975,202605,21,63000,-,17,개인,개인,2006,권광로260번길 36,-,중개거래,경기 수원시 영통구,-
45,경기도 수원시 영통구 매탄동,1217,1217,0,한국2,72.84,202605,21,44000,-,6,개인,법인,1993,매영로 84,-,중개거래,경기 수원시 영통구,-
46,경기도 수원시 영통구 원천동,589,589,0,광교중흥에스클래스,84.9388,202605,21,172000,-,31,개인,개인,2019,광교호수공원로 277,-,중개거래,경기 수원시 영통구,-
47,경기도 수원시 영통구 영통동,957-6,957,6,영통에듀파크(321동~327동),84.96,202605,21,87700,-,20,개인,개인,1997,청명로 132,-,중개거래,경기 수원시 영통구,-
48,경기도 수원시 영통구 영통동,970-3,970,3,벽적골9단지주공,59.39,202605,21,64500,-,13,개인,개인,1999,봉영로1517번길 27,-,중개거래,"경기 수원시 권선구, 경기 수원시 영통구",-
49,경기도 수원시 영통구 영통동,966-2,966,2,신나무실건영,134.81,202605,21,107000,-,6,개인,개인,2000,매영로 346,-,중개거래,경기 수원시 영통구,-
50,경기도 수원시 영통구 영통동,1154,1154,0,영통라온프라이빗,59.8334,202605,21,72800,-,16,개인,개인,2017,영통로200번길 111,-,중개거래,경기 수원시 영통구,-
51,경기도 수원시 영통구 영통동,964-5,964,5,신나무실휴먼시아5단지,49.59,202605,21,30500,-,7,개인,개인,1997,영통로290번길 25,-,중개거래,경기 수원시 영통구,-
52,경기도 수원시 영통구 망포동,722,722,0,그대가센트럴파크,129.4884,202605,21,96000,-,8,개인,개인,2010,영통로174번길 12,-,중개거래,경기 수원시 영통구,-
53,경기도 수원시 영통구 망포동,760,760,0,영통아이파크캐슬2단지,75.93,202605,21,90000,-,5,개인,개인,2019,덕영대로 1400,-,중개거래,"경기 부천시 원미구, 경기 수원시 영통구",-
54,경기도 수원시 영통구 망포동,723,723,0,한양수자인,59.9617,202605,21,78000,-,6,개인,개인,2013,영통로154번길 56,-,중개거래,경기 수원시 영통구,-
55,경기도 수원시 영통구 망포동,700,700,0,망포쌍용에듀파크,59.9067,202605,21,38700,-,10,개인,개인,2004,태장로7번길 38,-,중개거래,경기 수원시 영통구,-
56,경기도 수원시 영통구 망포동,698,698,0,엘지동수원자이,79.0967,202605,21,58000,-,21,개인,개인,2003,영통로 111,-,중개거래,경기 수원시 영통구,-
57,경기도 수원시 영통구 망포동,683,683,0,망포현대2아이파크,84.9945,202605,21,62500,-,8,개인,개인,2002,태장로 45,-,중개거래,"경기 광주시, 경기 수원시 영통구",-
58,경기도 수원시 영통구 하동,1028,1028,0,광교모아엘가레이크뷰,84.98,202605,21,93000,-,27,개인,개인,2014,광교호수로152번길 24,-,중개거래,경기 수원시 영통구,-
59,경기도 수원시 영통구 하동,1027,1027,0,광교LAKEPARK한양수자인,84.8442,202605,21,88000,-,3,개인,개인,2012,광교호수로152번길 23,-,중개거래,경기 수원시 영통구,-
60,경기도 수원시 영통구 하동,1013,1013,0,광교더리브,84.92,202605,21,140000,-,15,개인,개인,2013,센트럴파크로 34,-,중개거래,경기 수원시 영통구,-
61,경기도 수원시 영통구 매탄동,1280,1280,0,주공그린빌4,75.95,202605,21,47000,-,3,개인,개인,2002,동탄원천로915번길 33,-,중개거래,경기 수원시 영통구,-
62,경기도 수원시 영통구 매탄동,810-4,810,4,성일,49.68,202605,21,23800,-,12,개인,개인,1989,인계로 239,-,중개거래,경기 수원시 영통구,-
63,경기도 수원시 영통구 매탄동,1230,1230,0,매탄레이크파크,59.99,202605,21,41000,-,15,개인,개인,1999,매영로 132,-,중개거래,경기 수원시 영통구,-
64,경기도 수원시 영통구 영통동,973-3,973,3,벽적골우성,59.84,202605,20,39275,-,13,개인,개인,1998,영통로 232,-,직거래,-,-
65,경기도 수원시 영통구 영통동,970-3,970,3,벽적골9단지주공,49.63,202605,20,43500,-,3,개인,개인,1999,봉영로1517번길 27,-,중개거래,경기 수원시 영통구,-
66,경기도 수원시 영통구 영통동,967-2,967,2,신나무실극동,84.9,202605,20,83300,-,17,개인,개인,1999,봉영로1517번길 30,-,중개거래,경기 수원시 영통구,-
67,경기도 수원시 영통구 영통동,970-3,970,3,벽적골9단지주공,59.39,202605,20,46500,-,1,개인,개인,1999,봉영로1517번길 27,-,중개거래,경기 수원시 영통구,-
68,경기도 수원시 영통구 영통동,988-2,988,2,살구골마을진덕서광성지동아,101.25,202605,20,83000,-,15,개인,개인,1998,봉영로 1526,-,중개거래,"경기 수원시 권선구, 경기 수원시 영통구",-
69,경기도 수원시 영통구 망포동,726,726,0,e편한세상영통2차(1단지),74.5822,202605,20,66500,-,14,개인,개인,2016,봉영로 1410-17,-,중개거래,경기 수원시 영통구,-
70,경기도 수원시 영통구 이의동,1331,1331,0,광교푸르지오월드마크,108.131,202605,20,142000,-,4,개인,개인,2015,센트럴타운로 107,-,중개거래,경기 수원시 영통구,-
71,경기도 수원시 영통구 망포동,718,718,0,센트럴하이츠,59.557,202605,20,70000,-,5,개인,개인,2010,영통로154번길 51-16,-,중개거래,경기 수원시 영통구,-
72,경기도 수원시 영통구 매탄동,810-1,810,1,현대,84.94,202605,20,39000,-,9,개인,개인,1989,동수원로 448,-,중개거래,경기 수원시 영통구,-
73,경기도 수원시 영통구 매탄동,1162,1162,0,임광,84.95,202605,20,47000,-,3,개인,개인,1990,동수원로 316,-,중개거래,경기 수원시 영통구,-
74,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,59.99,202605,20,52500,-,16,개인,개인,1997,영통로 498,-,중개거래,경기 수원시 영통구,-
75,경기도 수원시 영통구 망포동,691,691,0,망포마을쌍용1차,124.571,202605,19,74000,-,19,개인,개인,2002,영통로173번길 37,-,중개거래,경기 수원시 영통구,-
76,경기도 수원시 영통구 매탄동,1230,1230,0,매탄레이크파크,59.99,202605,19,41500,-,15,개인,개인,1999,매영로 132,-,중개거래,경기 수원시 영통구,-
77,경기도 수원시 영통구 매탄동,810-2,810,2,동남,49.68,202605,19,25500,-,8,개인,개인,1989,동수원로 432,-,중개거래,경기 수원시 영통구,-
78,경기도 수원시 영통구 매탄동,1352,1352,0,매탄위브하늘채,128.821,202605,19,91000,-,16,개인,개인,2008,효원로 363,-,중개거래,경기 수원시 영통구,-
79,경기도 수원시 영통구 영통동,996-3,996,3,대우월드마크,127.9754,202605,19,94000,-,35,개인,개인,2008,봉영로 1620,-,중개거래,경기 수원시 영통구,-
80,경기도 수원시 영통구 원천동,548,548,0,원천레이크파크,49.95,202605,19,35400,-,16,개인,개인,1999,중부대로448번길 28,-,중개거래,경기 수원시 영통구,-
81,경기도 수원시 영통구 이의동,1229,1229,0,광교호반베르디움트라엘,100.513,202605,19,122000,-,1,개인,개인,2017,대학로 98,-,중개거래,경기 수원시 영통구,-
82,경기도 수원시 영통구 이의동,1331,1331,0,광교푸르지오월드마크,108.131,202605,19,145000,-,7,개인,개인,2015,센트럴타운로 107,-,중개거래,경기 수원시 영통구,-
83,경기도 수원시 영통구 원천동,589,589,0,광교중흥에스클래스,129.4158,202605,19,324000,-,10,개인,개인,2019,광교호수공원로 277,-,중개거래,경기 수원시 영통구,-
84,경기도 수원시 영통구 망포동,686,686,0,동수원자이1차,126.3534,202605,19,71000,-,11,개인,개인,2001,태장로82번길 32,-,중개거래,경기 수원시 영통구,-
85,경기도 수원시 영통구 영통동,1053-2,1053,2,벽산(1053-2),84.96,202605,19,54000,-,10,개인,개인,1997,봉영로1744번길 11,-,중개거래,경기 수원시 영통구,-
86,경기도 수원시 영통구 원천동,604,604,0,광교더샵,91.3754,202605,19,139000,-,31,개인,개인,2018,광교호수로 15,-,중개거래,경기 수원시 영통구,-
87,경기도 수원시 영통구 망포동,720,720,0,그대가프리미어,59.9513,202605,19,65000,-,3,개인,개인,2010,덕영대로1484번길 21,-,직거래,-,-
88,경기도 수원시 영통구 영통동,971-1,971,1,벽적골롯데,49.71,202605,19,55500,-,17,개인,개인,2002,덕영대로1555번길 20,-,중개거래,경기 수원시 영통구,-
89,경기도 수원시 영통구 망포동,700,700,0,망포쌍용에듀파크,59.9067,202605,19,42800,-,12,개인,개인,2004,태장로7번길 38,-,중개거래,경기 수원시 영통구,-
90,경기도 수원시 영통구 영통동,967-2,967,2,신나무실풍림,84.9,202605,19,85000,-,11,개인,개인,2000,봉영로1517번길 30,-,중개거래,경기 수원시 영통구,-
91,경기도 수원시 영통구 영통동,1154,1154,0,영통라온프라이빗,59.8334,202605,19,73000,-,11,개인,개인,2017,영통로200번길 111,-,중개거래,경기 수원시 영통구,-
92,경기도 수원시 영통구 이의동,1229,1229,0,광교호반베르디움트라엘,100.513,202605,19,130000,-,5,개인,개인,2017,대학로 98,-,중개거래,경기 수원시 영통구,-
93,경기도 수원시 영통구 영통동,973-3,973,3,벽적골우성,59.84,202605,19,48500,-,10,개인,개인,1998,영통로 232,-,중개거래,경기 수원시 영통구,-
94,경기도 수원시 영통구 영통동,971-1,971,1,벽적골롯데,38.16,202605,19,28500,-,1,개인,개인,2002,덕영대로1555번길 20,-,중개거래,경기 수원시 영통구,-
95,경기도 수원시 영통구 영통동,948-4,948,4,영통센트럴파크뷰,59.8,202605,18,45300,-,12,개인,개인,1999,영통로514번길 53,-,중개거래,경기 수원시 영통구,-
96,경기도 수원시 영통구 영통동,972-2,972,2,벽적골주공휴먼시아8단지,49.59,202605,18,31800,-,7,개인,개인,1997,영통로290번길 26,-,중개거래,경기 수원시 영통구,-
97,경기도 수원시 영통구 매탄동,1280,1280,0,주공그린빌4,84.51,202605,18,51800,-,7,개인,개인,2002,동탄원천로915번길 33,-,중개거래,경기 수원시 영통구,-
98,경기도 수원시 영통구 망포동,702,702,0,쌍용스윗닷홈2차,84.8867,202605,18,41500,-,15,개인,개인,2004,태장로54번길 122,-,중개거래,경기 수원시 영통구,-
99,경기도 수원시 영통구 망포동,790,790,0,영통아이파크캐슬3단지,75.54,202605,18,88500,-,15,개인,개인,2022,망포로84번길 10,-,중개거래,경기 수원시 영통구,-
100,경기도 수원시 영통구 매탄동,1199,1199,0,원천성일,49.94,202605,18,40000,-,9,개인,개인,1992,동탄원천로1109번길 42,-,중개거래,경기 수원시 영통구,-
101,경기도 수원시 영통구 매탄동,1282,1282,0,주공그린빌5,36.02,202605,18,28400,-,3,개인,개인,2002,동탄원천로881번길 35,-,중개거래,경기 수원시 영통구,-
102,경기도 수원시 영통구 원천동,548,548,0,원천레이크파크,49.95,202605,18,33500,-,3,개인,개인,1999,중부대로448번길 28,-,중개거래,경기 수원시 영통구,-
103,경기도 수원시 영통구 영통동,956-2,956,2,청명마을대우,99.87,202605,18,92000,-,13,개인,개인,1998,영통로 460,-,중개거래,경기 수원시 영통구,-
104,경기도 수원시 영통구 영통동,973-3,973,3,벽적골두산,59.84,202605,18,53500,-,16,개인,개인,1997,영통로 232,-,중개거래,경기 수원시 영통구,-
105,경기도 수원시 영통구 영통동,973-3,973,3,벽적골우성,59.73,202605,18,46000,-,20,개인,개인,1998,영통로 232,-,중개거래,경기 수원시 영통구,-
106,경기도 수원시 영통구 영통동,1053-2,1053,2,벽산(1053-2),84.96,202605,18,56000,-,14,개인,개인,1997,봉영로1744번길 11,-,중개거래,경기 수원시 영통구,-
107,경기도 수원시 영통구 영통동,964-5,964,5,신나무실휴먼시아5단지,59.99,202605,18,40500,-,7,개인,개인,1997,영통로290번길 25,-,중개거래,경기 수원시 영통구,-
108,경기도 수원시 영통구 하동,994,994,0,광교호수마을호반써밋,84.85,202605,16,122000,-,25,개인,개인,2011,법조로 134,-,중개거래,경기 수원시 영통구,-
109,경기도 수원시 영통구 이의동,1370,1370,0,광교에듀포레,75.75,202605,16,153000,-,18,개인,개인,2014,에듀타운로 7,-,중개거래,경기 수원시 영통구,-
110,경기도 수원시 영통구 이의동,1326,1326,0,광교e편한세상,119.042,202605,16,187000,-,21,개인,개인,2012,센트럴타운로 76,-,중개거래,경기 수원시 영통구,-
111,경기도 수원시 영통구 이의동,1339,1339,0,자연앤자이3단지,125.6,202605,16,184000,-,9,개인,개인,2012,도청로17번길 23,-,중개거래,경기 수원시 영통구,-
112,경기도 수원시 영통구 매탄동,1258,1258,0,주공그린빌1,84.51,202605,16,49000,-,18,개인,개인,2002,매탄로126번길 22,-,중개거래,경기 수원시 영통구,-
113,경기도 수원시 영통구 매탄동,810-4,810,4,성일,49.68,202605,16,25500,-,11,개인,개인,1989,인계로 239,-,중개거래,경기 수원시 영통구,-
114,경기도 수원시 영통구 매탄동,810-2,810,2,동남,49.68,202605,16,25900,-,12,개인,개인,1989,동수원로 432,-,중개거래,"경기 수원시 영통구, 경기 화성시 동탄구",-
115,경기도 수원시 영통구 매탄동,1352,1352,0,매탄위브하늘채,84.7807,202605,16,78500,-,22,개인,개인,2008,효원로 363,-,중개거래,경기 수원시 영통구,-
116,경기도 수원시 영통구 매탄동,810-4,810,4,성일,49.68,202605,16,24800,-,14,개인,개인,1989,인계로 239,-,중개거래,"경기 수원시 영통구, 경기 수원시 팔달구",-
117,경기도 수원시 영통구 매탄동,810-3,810,3,삼성1,44.45,202605,16,27100,-,7,개인,개인,1988,인계로 219,-,중개거래,경기 수원시 영통구,-
118,경기도 수원시 영통구 매탄동,1352,1352,0,매탄위브하늘채,72.9079,202605,16,71000,-,5,개인,개인,2008,효원로 363,-,중개거래,경기 수원시 영통구,-
119,경기도 수원시 영통구 매탄동,1352,1352,0,매탄위브하늘채,84.7273,202605,16,74700,-,14,개인,개인,2008,효원로 363,-,중개거래,경기 수원시 영통구,-
120,경기도 수원시 영통구 망포동,726,726,0,e편한세상영통2차(1단지),59.9158,202605,16,59900,-,3,개인,개인,2016,봉영로 1410-17,-,중개거래,경기 수원시 영통구,-
121,경기도 수원시 영통구 영통동,964-5,964,5,신나무실휴먼시아5단지,59.99,202605,16,41000,-,11,개인,개인,1997,영통로290번길 25,-,중개거래,경기 수원시 영통구,-
122,경기도 수원시 영통구 영통동,972-2,972,2,벽적골주공휴먼시아8단지,59.99,202605,16,41000,-,8,개인,개인,1997,영통로290번길 26,-,중개거래,경기 수원시 영통구,-
123,경기도 수원시 영통구 영통동,963-2,963,2,신나무실쌍용,59.965,202605,16,42000,-,5,개인,개인,1997,매영로310번길 12,-,중개거래,경기 수원시 영통구,-
124,경기도 수원시 영통구 영통동,964-5,964,5,신나무실휴먼시아5단지,59.99,202605,16,40800,-,6,개인,개인,1997,영통로290번길 25,-,중개거래,경기 수원시 영통구,-
125,경기도 수원시 영통구 영통동,1053-2,1053,2,벽산(1053-2),84.96,202605,16,50500,-,20,개인,개인,1997,봉영로1744번길 11,-,중개거래,경기 수원시 영통구,-
126,경기도 수원시 영통구 영통동,970-3,970,3,벽적골9단지주공,59.39,202605,16,60000,-,18,개인,개인,1999,봉영로1517번길 27,-,중개거래,경기 수원시 영통구,-
127,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,59.99,202605,16,50000,-,2,개인,개인,1997,영통로 498,-,중개거래,경기 수원시 영통구,-
128,경기도 수원시 영통구 영통동,970-3,970,3,벽적골9단지주공,59.39,202605,16,56800,-,11,개인,개인,1999,봉영로1517번길 27,-,중개거래,경기 수원시 영통구,-
129,경기도 수원시 영통구 영통동,963-2,963,2,신나무실쌍용,59.965,202605,16,42000,-,14,개인,개인,1997,매영로310번길 12,-,중개거래,경기 수원시 영통구,-
130,경기도 수원시 영통구 영통동,968,968,0,신나무실신명,84.9,202605,16,70000,-,5,개인,개인,1997,봉영로1517번길 76,-,중개거래,경기 수원시 영통구,-
131,경기도 수원시 영통구 영통동,967-2,967,2,신나무실극동,75.69,202605,16,74000,-,11,개인,개인,1999,봉영로1517번길 30,-,중개거래,경기 수원시 영통구,-
132,경기도 수원시 영통구 영통동,956-2,956,2,청명마을대우,134.64,202605,16,90000,-,18,개인,개인,1998,영통로 460,-,중개거래,경기 수원시 영통구,-
133,경기도 수원시 영통구 영통동,957-6,957,6,영통에듀파크(321동~327동),84.96,202605,16,81500,-,20,개인,개인,1997,청명로 132,-,중개거래,경기 수원시 영통구,-
134,경기도 수원시 영통구 영통동,957-6,957,6,영통에듀파크(331동~337동),73.79,202605,16,74750,-,14,개인,개인,1997,청명로 132,-,중개거래,경기 수원시 영통구,-
135,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,59.99,202605,16,54500,-,11,개인,개인,1997,영통로 498,-,중개거래,경기 수원시 영통구,-
136,경기도 수원시 영통구 하동,994,994,0,광교호수마을호반써밋,111.08,202605,16,139000,-,25,개인,개인,2011,법조로 134,-,중개거래,경기 수원시 영통구,-
137,경기도 수원시 영통구 이의동,1304,1304,0,래미안광교,97.35,202605,16,149500,-,9,개인,개인,2012,센트럴파크로 60,-,중개거래,경기 수원시 영통구,-
138,경기도 수원시 영통구 하동,1013,1013,0,광교더리브,84.81,202605,16,132000,-,8,개인,개인,2013,센트럴파크로 34,-,중개거래,경기 수원시 영통구,-
139,경기도 수원시 영통구 하동,1021,1021,0,힐스테이트광교,97.1202,202605,16,163500,-,8,개인,개인,2018,센트럴파크로 6,-,중개거래,경기 수원시 영통구,-
140,경기도 수원시 영통구 망포동,707,707,0,방죽마을영통뜨란채,84.68,202605,16,52000,-,16,개인,개인,2005,영통로200번길 156,-,중개거래,경기 수원시 영통구,-
141,경기도 수원시 영통구 망포동,691,691,0,망포마을쌍용1차,84.8697,202605,16,66500,-,16,개인,개인,2002,영통로173번길 37,-,중개거래,"경기 수원시 권선구, 경기 수원시 영통구",-
142,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,59.99,202605,15,43000,-,1,개인,개인,1997,영통로 498,-,중개거래,경기 수원시 영통구,-
143,경기도 수원시 영통구 망포동,760,760,0,영통아이파크캐슬2단지,59.98,202605,15,88000,-,17,개인,개인,2019,덕영대로 1400,-,중개거래,경기 수원시 영통구,-
144,경기도 수원시 영통구 망포동,727,727,0,e편한세상영통2차(2단지),59.9158,202605,15,60000,-,16,개인,개인,2016,봉영로 1432-36,-,중개거래,"경기 수원시 영통구, 경기 용인시 기흥구",-
145,경기도 수원시 영통구 망포동,718,718,0,센트럴하이츠,136.9747,202605,15,81500,-,21,개인,개인,2010,영통로154번길 51-16,-,중개거래,"경기 수원시 영통구, 대구 달서구",-
146,경기도 수원시 영통구 망포동,707,707,0,방죽마을영통뜨란채,84.68,202605,15,53500,-,3,개인,개인,2005,영통로200번길 156,-,중개거래,경기 수원시 영통구,-
147,경기도 수원시 영통구 망포동,698,698,0,엘지동수원자이,110.5997,202605,15,62000,-,10,개인,개인,2003,영통로 111,-,중개거래,경기 수원시 영통구,-
148,경기도 수원시 영통구 망포동,718,718,0,센트럴하이츠,156.0126,202605,15,78000,304,7,개인,개인,2010,영통로154번길 51-16,-,직거래,-,26.05.18
149,경기도 수원시 영통구 영통동,971-1,971,1,벽적골롯데,49.71,202605,15,46900,-,9,개인,개인,2002,덕영대로1555번길 20,-,중개거래,경기 수원시 영통구,-
150,경기도 수원시 영통구 영통동,973-3,973,3,벽적골두산,59.73,202605,15,47500,-,5,개인,개인,1997,영통로 232,-,중개거래,경기 수원시 영통구,-
151,경기도 수원시 영통구 영통동,973-3,973,3,벽적골한신,59.84,202605,15,53500,-,13,개인,개인,1997,영통로 232,-,중개거래,경기 수원시 영통구,-
152,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,59.99,202605,15,53000,-,18,개인,개인,1997,영통로 498,-,중개거래,경기 수원시 영통구,-
153,경기도 수원시 영통구 영통동,988-2,988,2,살구골마을진덕서광성지동아,101.25,202605,15,82500,-,16,개인,개인,1998,봉영로 1526,-,중개거래,경기 수원시 영통구,-
154,경기도 수원시 영통구 영통동,967-2,967,2,신나무실극동,75.69,202605,15,73500,-,6,개인,개인,1999,봉영로1517번길 30,-,중개거래,경기 수원시 영통구,-
